업소명,소재지,위도,경도
금복용호통닭,부산광역시 중구 중구로33번길 32,129.0261887,35.10110274
소풍경 중구점,부산광역시 중구 비프광장로 21-1,129.0275751,35.09882846
1GA-24-12,부산광역시 중구 중앙대로41번길 9-1,129.035259,35.10106158
닭썸,부산광역시 중구 중구로29번길 36,129.0259737,35.10057273
고집파닭,부산광역시 중구 비프광장로 33-2,129.0288503,35.09906101
오복통닭,부산광역시 중구 부평1길 59,129.0258075,35.10218766
닭다리먹고 맴맴,부산광역시 중구 광복로12번길 5,129.026415,35.09902759
훈춘,부산광역시 중구 흑교로59번길 15-1,129.023262,35.1038768
미스터치킨맨,부산광역시 중구 망양로 277,129.0262982,35.10720432
지코바숯불치킨,부산광역시 중구 중구로 148,129.035153,35.10828272
네네치킨,부산광역시 중구 대청로25번길 4,129.0228735,35.1035105
아닥치킨,부산광역시 중구 대청로 21,129.0221371,35.10339053
꾸지뽕 삼계탕,부산광역시 중구 남포길 28,129.0317936,35.09850413
영주대청점굽네치킨,부산광역시 중구 동영로 24,129.0343512,35.10907379
투윙,부산광역시 중구 중구로33번길 32,129.0261887,35.10110274
미정통닭·강정,부산광역시 중구 흑교로 88-1,129.0245875,35.10373939
교촌치킨 영주대청점,부산광역시 중구 중구로 70-1,129.0290187,35.10372885
쏙닭쏙닭,부산광역시 중구 동광길 77,129.0348634,35.10620296
미진축산,부산광역시 중구 보수대로44번길 6-2,129.023862,35.10098723
BHC대청점,부산광역시 중구 대청로 94-1,129.0302126,35.10272715
브이통닭,부산광역시 중구 부평1길 56,129.0259912,35.10196976
국제통닭,부산광역시 중구 중구로47번길 33-1,129.0260377,35.10217669
시장분식,부산광역시 중구 부평1길 58,129.0259922,35.10205088
지코바,부산광역시 서구 송도해변로 125,129.0206701,35.07811845
닭굽는 마을,부산광역시 서구 천해로 10,129.0177511,35.08322696
신김해통닭,부산광역시 서구 구덕로214번길 10,129.020682,35.10368224
뉴거인통닭,부산광역시 서구 구덕로193번길 25,129.0184562,35.10198831
멕시칸치킨,부산광역시 서구 충무대로 151-2,129.0246824,35.08417808
치치,부산광역시 서구 구덕로296번길 31,129.0192279,35.11110403
처갓집통닭,부산광역시 서구 천마로 192,129.0222994,35.09268046
